ORIGINAL_CATEGORY,SIMPLIFIED_CATEGORY
bike_rentals,Automotive
lighting_store,Retail & Shopping
abuse_and_addiction_treatment,Healthcare & Medical
certification_agency,Education & Learning
pet_sitting,Other
parking,Entertainment & Recreation
karaoke,Entertainment & Recreation
civil_engineers,Professional Services
indoor_landscaping,Professional Services
shutters,Other
radio_station,Transportation
oil_and_gas,Other
radio_and_television_commercials,Community & Social Services
environmental_abatement_services,Automotive
private_equity_firm,Community & Social Services
passport_and_visa_services,Automotive
trophy_shop,Retail & Shopping
herb_and_spice_shop,Retail & Shopping
holding_companies,Other
geriatric_medicine,Healthcare & Medical
logging_services,Automotive
brazilian_restaurant,Food & Dining
astrologer,Other
hot_air_balloons_tour,Entertainment & Recreation
abortion_clinic,Healthcare & Medical
asian_art_museum,Entertainment & Recreation
orthopedist,Healthcare & Medical
toll_stations,Transportation
disability_services_and_support_organization,Automotive
gymnastics_center,Entertainment & Recreation
industrial_equipment,Government & Public Services
flooring_store,Retail & Shopping
sex_therapist,Other
medical_sciences_schools,Healthcare & Medical
interlock_system,Other
comic_books_store,Retail & Shopping
medical_research_and_development,Healthcare & Medical
corporate_entertainment_services,Entertainment & Recreation
tools_wholesaler,Retail & Shopping
major_airports,Transportation
ambulance_and_ems_services,Automotive
telecommunications_company,Other
home_automation,Automotive
photo_booth_rental,Automotive
racquetball_court,Government & Public Services
chilean_restaurant,Food & Dining
tubing_provider,Other
cheerleading,Other
box_lunch_supplier,Industrial & Manufacturing
doctor,Healthcare & Medical
web_hosting_service,Automotive
qi_gong_studio,Accommodation
hungarian_restaurant,Food & Dining
russian_grocery_store,Retail & Shopping
animal_assisted_therapy,Healthcare & Medical
comfort_food_restaurant,Food & Dining
self_defense_classes,Education & Learning
austrian_restaurant,Food & Dining
urgent_care_clinic,Healthcare & Medical
court_reporter,Professional Services
agriculture_association,Religious & Spiritual
pet_services,Automotive
rafting_kayaking_area,Other
leather_goods,Retail & Shopping
vinyl_record_store,Retail & Shopping
hybrid_car_repair,Automotive
banks,Professional Services
horse_trainer,Transportation
geological_services,Automotive
tv_mounting,Other
weather_forecast_services,Automotive
gliderports,Transportation
day_care_preschool,Education & Learning
ophthalmologist,Healthcare & Medical
private_school,Education & Learning
acoustical_consultant,Other
hiking_trail,Entertainment & Recreation
phlebologist,Other
parasailing_ride_service,Entertainment & Recreation
gay_bar,Food & Dining
life_coach,Transportation
comedy_club,Entertainment & Recreation
state_museum,Entertainment & Recreation
self_catering_accommodation,Other
personal_injury_law,Professional Services
auto_parts_and_supply_store,Retail & Shopping
montessori_school,Education & Learning
water_softening_equipment_supplier,Industrial & Manufacturing
neuropathologist,Healthcare & Medical
kurdish_restaurant,Food & Dining
toxicologist,Other
serbo_croatian_restaurant,Food & Dining
food_truck,Food & Dining
central_government_office,Government & Public Services
medical_spa,Healthcare & Medical
pet_breeder,Other
furniture_repair,Automotive
tapas_bar,Food & Dining
first_aid_class,Education & Learning
pan_asian_restaurant,Food & Dining
diamond_dealer,Automotive
wrap_restaurant,Food & Dining
weight_loss_center,Beauty & Personal Care
vocational_and_technical_school,Education & Learning
sperm_clinic,Healthcare & Medical
travel_services,Automotive
video_and_video_game_rentals,Entertainment & Recreation
shipping_collection_services,Professional Services
bangladeshi_restaurant,Food & Dining
lounge,Food & Dining
memorial_park,Entertainment & Recreation
cambodian_restaurant,Food & Dining
mortuary_services,Automotive
pipeline_transportation,Transportation
automotive,Automotive
private_investigation,Professional Services
fmcg_wholesaler,Retail & Shopping
sports_medicine,Healthcare & Medical
print_media,Other
guest_house,Home & Garden
tower,Natural Features & Outdoor
swiss_restaurant,Food & Dining
pizza_delivery_service,Food & Dining
strip_club,Entertainment & Recreation
paint_and_sip,Other
hydroponic_gardening,Home & Garden
railway_ticket_agent,Transportation
nail_salon,Beauty & Personal Care
cocktail_bar,Food & Dining
educational_services,Education & Learning
tattoo,Beauty & Personal Care
home_network_installation,Home & Garden
haitian_restaurant,Food & Dining
turkish_restaurant,Food & Dining
soup_restaurant,Food & Dining
event_planning,Other
swimming_pool,Entertainment & Recreation
dj_service,Automotive
spanish_restaurant,Food & Dining
temp_agency,Professional Services
career_counseling,Healthcare & Medical
b2b_jewelers,Other
drive_in_theater,Entertainment & Recreation
arabian_restaurant,Food & Dining
dentist,Healthcare & Medical
chimney_service,Automotive
empanadas,Other
party_and_event_planning,Other
public_relations,Food & Dining
auto_loan_provider,Professional Services
dominican_restaurant,Food & Dining
tai_chi_studio,Accommodation
popcorn_shop,Retail & Shopping
wind_energy,Industrial & Manufacturing
laboratory,Healthcare & Medical
music_production_services,Entertainment & Recreation
adoption_services,Automotive
laser_tag,Beauty & Personal Care
estate_liquidation,Government & Public Services
sauna,Beauty & Personal Care
pen_store,Retail & Shopping
trailer_rentals,Automotive
pool_and_billiards,Entertainment & Recreation
geriatric_psychiatry,Healthcare & Medical
direct_mail_advertising,Professional Services
business,Professional Services
water_treatment_equipment_and_services,Automotive
aircraft_repair,Automotive
atv_rentals_and_tours,Entertainment & Recreation
handicraft_shop,Retail & Shopping
piano_bar,Food & Dining
handyman,Other
it_consultant,Other
chinese_martial_arts_club,Entertainment & Recreation
art_space_rental,Automotive
designer_clothing,Transportation
used_car_dealer,Automotive
sports_and_fitness_instruction,Entertainment & Recreation
whiskey_bar,Food & Dining
solar_panel_cleaning,Professional Services
plastic_fabrication_company,Industrial & Manufacturing
cooking_classes,Education & Learning
b2b_agriculture_and_food,Food & Dining
ski_area,Other
money_transfer_services,Automotive
home_service,Automotive
surgical_appliances_and_supplies,Other
health_insurance_office,Healthcare & Medical
aerial_tours,Entertainment & Recreation
bookstore,Retail & Shopping
structural_engineer,Professional Services
business_schools,Professional Services
movers,Other
home_and_garden,Home & Garden
iron_and_steel_industry,Other
osteopathic_physician,Healthcare & Medical
coffee_roastery,Food & Dining
engineering_schools,Professional Services
retirement_home,Automotive
preschool,Education & Learning
perfume_store,Retail & Shopping
hypnosis_hypnotherapy,Healthcare & Medical
face_painting,Professional Services
limo_services,Automotive
furniture_assembly,Industrial & Manufacturing
photography_museum,Entertainment & Recreation
sheet_metal,Other
federal_government_offices,Government & Public Services
plastic_injection_molding_workshop,Retail & Shopping
automotive_dealer,Automotive
food_banks,Food & Dining
evangelical_church,Religious & Spiritual
fast_food_restaurant,Food & Dining
internet_service_provider,Automotive
digitizing_services,Automotive
drinking_water_dispenser,Other
woodworking_supply_store,Retail & Shopping
water_heater_installation_repair,Automotive
pediatric_oncology,Healthcare & Medical
fitness_equipment_wholesaler,Retail & Shopping
furniture_wholesalers,Retail & Shopping
agricultural_seed_store,Retail & Shopping
home_energy_auditor,Home & Garden
restaurant_management,Food & Dining
craft_shop,Retail & Shopping
computer_hardware_company,Other
japanese_grocery_store,Retail & Shopping
dance_wear,Entertainment & Recreation
prenatal_perinatal_care,Healthcare & Medical
esports_team,Food & Dining
motorsport_vehicle_repair,Automotive
dental_hygienist,Healthcare & Medical
senior_citizen_services,Automotive
noodles_restaurant,Food & Dining
patio_covers,Home & Garden
paraguayan_restaurant,Food & Dining
session_photography,Other
real_estate_service,Professional Services
welders,Religious & Spiritual
house_sitting,Home & Garden
flour_mill,Industrial & Manufacturing
broadcasting_media_production,Transportation
mailbox_center,Transportation
art_restoration_service,Automotive
national_museum,Entertainment & Recreation
distribution_services,Professional Services
rock_climbing_instructor,Entertainment & Recreation
theatrical_productions,Industrial & Manufacturing
gerontologist,Other
product_design,Transportation
library,Education & Learning
korean_restaurant,Food & Dining
appliance_store,Retail & Shopping
holiday_rental_home,Automotive
rugby_stadium,Entertainment & Recreation
iberian_restaurant,Food & Dining
yoga_studio,Entertainment & Recreation
wood_and_pulp,Other
dui_school,Education & Learning
props,Other
pet_cemetery_and_crematorium_services,Automotive
beverage_store,Retail & Shopping
poultry_farming,Other
religious_school,Education & Learning
food_delivery_service,Food & Dining
steel_fabricators,Other
electronics_repair_shop,Retail & Shopping
buddhist_temple,Religious & Spiritual
casting_molding_and_machining,Industrial & Manufacturing
osteopath,Natural Features & Outdoor
chinese_restaurant,Food & Dining
bakery,Food & Dining
bottled_water_company,Other
bathroom_fixture_stores,Retail & Shopping
transportation,Transportation
law_enforcement,Professional Services
wellness_program,Healthcare & Medical
taiwanese_restaurant,Food & Dining
business_records_storage_and_management,Professional Services
home_staging,Home & Garden
state_park,Entertainment & Recreation
environmental_and_ecological_services_for_businesses,Professional Services
waterproofing,Professional Services
airline,Transportation
candle_store,Retail & Shopping
process_servers,Professional Services
domestic_business_and_trade_organizations,Professional Services
vehicle_wrap,Automotive
wildlife_control,Other
brazilian_jiu_jitsu_club,Entertainment & Recreation
mobile_phone_repair,Automotive
squash_court,Government & Public Services
playground_equipment_supplier,Entertainment & Recreation
metal_supplier,Industrial & Manufacturing
acupuncture,Healthcare & Medical
siding,Professional Services
butcher_shop,Retail & Shopping
bridge,Transportation
latin_american_restaurant,Food & Dining
architecture,Professional Services
lottery_ticket,Transportation
recreational_vehicle_parts_and_accessories,Entertainment & Recreation
agricultural_engineering_service,Professional Services
dive_bar,Food & Dining
pharmacy_schools,Healthcare & Medical
handball_court,Government & Public Services
cremation_services,Automotive
soccer_club,Entertainment & Recreation
cryotherapy,Healthcare & Medical
tire_shop,Retail & Shopping
real_estate_law,Professional Services
panamanian_restaurant,Food & Dining
self_storage_facility,Professional Services
hospice,Healthcare & Medical
dog_trainer,Transportation
crane_services,Automotive
billing_services,Professional Services
rental_services,Automotive
ferry_boat_company,Automotive
watch_store,Retail & Shopping
duplication_services,Automotive
costa_rican_restaurant,Food & Dining
skate_park,Entertainment & Recreation
fencing_club,Entertainment & Recreation
charter_school,Education & Learning
aviation_museum,Entertainment & Recreation
computer_store,Retail & Shopping
packing_supply,Professional Services
outdoor_movies,Entertainment & Recreation
horse_boarding,Community & Social Services
refinishing_services,Automotive
tenant_and_eviction_law,Professional Services
officiating_services,Automotive
attractions_and_activities,Other
farming_equipment_store,Retail & Shopping
park_and_rides,Entertainment & Recreation
energy_management_and_conservation_consultants,Professional Services
cannabis_dispensary,Other
hematology,Other
hospitalist,Healthcare & Medical
after_school_program,Education & Learning
indoor_playcenter,Community & Social Services
nurse_practitioner,Other
courthouse,Home & Garden
structure_and_geography,Other
knife_sharpening,Other
b2b_tires,Automotive
plastic_surgeon,Healthcare & Medical
rock_climbing_spot,Entertainment & Recreation
nigerian_restaurant,Food & Dining
mountain_bike_parks,Entertainment & Recreation
electrician,Other
vegetarian_restaurant,Food & Dining
clinical_laboratories,Healthcare & Medical
seafood_wholesaler,Food & Dining
aquarium_services,Entertainment & Recreation
tanning_salon,Beauty & Personal Care
baby_gear_and_furniture,Other
fruits_and_vegetables,Other
fingerprinting_service,Automotive
do_it_yourself_store,Retail & Shopping
washer_and_dryer_repair_service,Automotive
taxi_service,Professional Services
waxing,Beauty & Personal Care
pets,Other
golf_cart_rental,Entertainment & Recreation
chimney_sweep,Other
dry_cleaning,Professional Services
recreational_vehicle_dealer,Entertainment & Recreation
party_supply,Automotive
ski_resort,Accommodation
soccer_stadium,Entertainment & Recreation
audiologist,Automotive
italian_restaurant,Food & Dining
vehicle_shipping,Professional Services
collection_agencies,Other
watch_repair_service,Automotive
sledding_rental,Automotive
event_photography,Other
sporting_goods,Retail & Shopping
automotive_consultant,Automotive
international_business_and_trade_services,Professional Services
patisserie_cake_shop,Food & Dining
consultant_and_general_service,Automotive
uzbek_restaurant,Food & Dining
amateur_sports_team,Food & Dining
pool_billiards,Entertainment & Recreation
b2b_farming,Other
trivia_host,Other
equestrian_facility,Community & Social Services
health_spa,Healthcare & Medical
pier,Transportation
pet_boarding,Community & Social Services
pension,Other
biotechnology_company,Industrial & Manufacturing
sports_wear,Entertainment & Recreation
environmental_conservation_organization,Automotive
threading_service,Automotive
manufacturing_and_industrial_consultant,Government & Public Services
winery,Food & Dining
windshield_installation_and_repair,Automotive
travel,Other
rv_park,Entertainment & Recreation
driving_range,Other
blood_and_plasma_donation_center,Community & Social Services
chicken_wings_restaurant,Food & Dining
piano_services,Automotive
ecuadorian_restaurant,Food & Dining
research_institute,Education & Learning
cosmetic_products_manufacturer,Retail & Shopping
fire_protection_service,Automotive
metal_plating_service,Automotive
burmese_restaurant,Food & Dining
elementary_school,Education & Learning
electrical_supply_store,Retail & Shopping
irrigation,Professional Services
marriage_or_relationship_counselor,Transportation
australian_restaurant,Food & Dining
marketing_consultant,Retail & Shopping
pediatric_cardiology,Healthcare & Medical
electricity_supplier,Government & Public Services
dog_walkers,Other
international_restaurant,Food & Dining
gas_station,Transportation
walk_in_clinic,Healthcare & Medical
falafel_restaurant,Food & Dining
snorkeling,Other
goldsmith,Other
hot_tubs_and_pools,Beauty & Personal Care
caribbean_restaurant,Food & Dining
farrier_services,Automotive
auto_insurance,Professional Services
nephrologist,Healthcare & Medical
bounce_house_rental,Automotive
livestock_feed_and_supply_store,Retail & Shopping
delicatessen,Food & Dining
screen_printing_t_shirt_printing,Industrial & Manufacturing
kitchen_supply_store,Retail & Shopping
fireplace_service,Automotive
dialysis_clinic,Healthcare & Medical
brewery,Food & Dining
ethiopian_restaurant,Food & Dining
temple,Religious & Spiritual
russian_restaurant,Food & Dining
georgian_restaurant,Food & Dining
flatbread_restaurant,Food & Dining
tree_services,Professional Services
health_food_store,Food & Dining
food_and_beverage_consultant,Food & Dining
hang_gliding_center,Community & Social Services
insulation_installation,Professional Services
media_news_website,Other
alcohol_and_drug_treatment_centers,Community & Social Services
art_restoration,Automotive
meat_shop,Retail & Shopping
water_delivery,Professional Services
flyboarding_center,Community & Social Services
flooring_contractors,Professional Services
test_preparation,Education & Learning
battery_store,Retail & Shopping
sugaring,Other
drone_store,Retail & Shopping
christmas_trees,Home & Garden
education,Education & Learning
sculpture_statue,Other
souvenir_shop,Retail & Shopping
immunodermatologist,Healthcare & Medical
park,Entertainment & Recreation
waldorf_school,Education & Learning
pet_training,Education & Learning
buffet_restaurant,Food & Dining
ip_and_internet_law,Professional Services
indian_restaurant,Food & Dining
food,Food & Dining
snow_removal_service,Professional Services
doner_kebab,Other
emergency_room,Healthcare & Medical
hindu_temple,Religious & Spiritual
adventure_sports_center,Entertainment & Recreation
background_check_services,Automotive
waffle_restaurant,Food & Dining
shopping_center,Retail & Shopping
auto_electrical_repair,Professional Services
family_service_center,Automotive
landscaping,Professional Services
bankruptcy_law,Professional Services
behavior_analyst,Other
tiki_bar,Food & Dining
party_bike_rental,Automotive
t_shirt_store,Retail & Shopping
television_station,Transportation
child_protection_service,Automotive
decorative_arts_museum,Entertainment & Recreation
surgical_center,Healthcare & Medical
outdoor_advertising,Professional Services
golf_course,Entertainment & Recreation
scooter_dealers,Automotive
music_production,Entertainment & Recreation
monument,Natural Features & Outdoor
japanese_restaurant,Food & Dining
video_game_store,Retail & Shopping
pediatric_nephrology,Healthcare & Medical
emergency_pet_hospital,Healthcare & Medical
transcription_services,Automotive
magician,Other
country_house,Home & Garden
cannabis_clinic,Healthcare & Medical
labor_union,Community & Social Services
home_window_tinting,Automotive
trampoline_park,Entertainment & Recreation
irrigation_companies,Professional Services
theaters_and_performance_venues,Entertainment & Recreation
bathtub_and_sink_repairs,Automotive
sand_and_gravel_supplier,Industrial & Manufacturing
medical_transportation,Healthcare & Medical
art_tours,Entertainment & Recreation
high_school,Education & Learning
airlines,Transportation
petting_zoo,Entertainment & Recreation
b2b_machinery_and_tools,Other
concierge_medicine,Healthcare & Medical
property_management,Professional Services
farm,Other
electric_utility_provider,Industrial & Manufacturing
cable_car_service,Automotive
medical_law,Healthcare & Medical
spray_tanning,Beauty & Personal Care
skilled_nursing,Healthcare & Medical
hydrotherapy,Healthcare & Medical
neurologist,Healthcare & Medical
cabin,Transportation
truck_gas_station,Automotive
personal_assistant,Other
laotian_restaurant,Food & Dining
cinema,Entertainment & Recreation
typing_services,Automotive
baptist_church,Religious & Spiritual
hair_stylist,Beauty & Personal Care
pool_and_hot_tub_services,Automotive
beer_garden,Home & Garden
wildlife_hunting_range,Entertainment & Recreation
hvac_supplier,Professional Services
event_technology_service,Automotive
school_district_offices,Education & Learning
custom_cakes_shop,Retail & Shopping
spas,Beauty & Personal Care
mediterranean_restaurant,Food & Dining
damage_restoration,Automotive
investing,Other
seafood_market,Food & Dining
massage_therapy,Healthcare & Medical
auto_manufacturers_and_distributors,Automotive
cabaret,Food & Dining
mens_clothing_store,Retail & Shopping
pharmaceutical_companies,Industrial & Manufacturing
environmental_testing,Home & Garden
alcohol_and_drug_treatment_center,Community & Social Services
basketball_stadium,Entertainment & Recreation
thread_supplier,Industrial & Manufacturing
motorcycle_repair,Automotive
pub,Food & Dining
roller_skating_rink,Entertainment & Recreation
paper_mill,Industrial & Manufacturing
bar_crawl,Food & Dining
auto_body_shop,Retail & Shopping
movie_television_studio,Entertainment & Recreation
assisted_living_facility,Healthcare & Medical
audiovisual_equipment_rental,Entertainment & Recreation
car_sharing,Automotive
horse_equipment_shop,Retail & Shopping
massage_school,Education & Learning
beer_wine_and_spirits,Other
holiday_decorating,Other
hydro_jetting,Other
airline_ticket_agency,Transportation
wine_wholesaler,Retail & Shopping
matchmaker,Other
housing_cooperative,Accommodation
smoothie_juice_bar,Food & Dining
cardiovascular_and_thoracic_surgeon,Healthcare & Medical
pharmaceutical_products_wholesaler,Retail & Shopping
psychoanalyst,Other
storage_facility,Professional Services
pizza_restaurant,Food & Dining
altering_and_remodeling_contractor,Professional Services
fabric_store,Retail & Shopping
sightseeing_tour_agency,Entertainment & Recreation
hostel,Accommodation
costume_museum,Entertainment & Recreation
bank_equipment_service,Professional Services
lookout,Natural Features & Outdoor
burger_restaurant,Food & Dining
scuba_diving_instruction,Entertainment & Recreation
walking_tours,Entertainment & Recreation
importer_and_exporter,Transportation
wallpaper_installers,Other
endoscopist,Other
hotel,Accommodation
b2b_cleaning_and_waste_management,Professional Services
orthotics,Other
chocolatier,Other
apiaries_and_beekeepers,Other
financial_service,Professional Services
wholesale_florist,Retail & Shopping
dance_school,Entertainment & Recreation
interior_design,Transportation
image_consultant,Other
aircraft_dealer,Automotive
axe_throwing,Other
medical_service_organizations,Healthcare & Medical
home_decor,Home & Garden
diagnostic_imaging,Healthcare & Medical
health_consultant,Healthcare & Medical
indonesian_restaurant,Food & Dining
nanny_services,Automotive
bookbinding,Other
chambers_of_commerce,Other
avionics_shop,Retail & Shopping
ice_cream_shop,Food & Dining
persian_iranian_restaurant,Food & Dining
pool_cleaning,Professional Services
science_museum,Entertainment & Recreation
animation_studio,Accommodation
rowing_club,Entertainment & Recreation
travel_agents,Industrial & Manufacturing
macarons,Automotive
placenta_encapsulation_service,Automotive
office_cleaning,Professional Services
health_and_wellness_club,Healthcare & Medical
grout_service,Automotive
generator_installation_repair,Automotive
light_rail_and_subway_stations,Transportation
fondue_restaurant,Food & Dining
beach_equipment_rentals,Entertainment & Recreation
electronics,Other
security_systems,Professional Services
organic_grocery_store,Retail & Shopping
badminton_court,Government & Public Services
body_contouring,Entertainment & Recreation
psychotherapist,Other
basketball_court,Entertainment & Recreation
childrens_museum,Entertainment & Recreation
pet_hospice,Healthcare & Medical
service_apartments,Automotive
tasting_classes,Education & Learning
candy_store,Retail & Shopping
legal_services,Professional Services
antique_store,Retail & Shopping
recycling_center,Professional Services
shipping_center,Professional Services
educational_supply_store,Retail & Shopping
german_restaurant,Food & Dining
weather_station,Transportation
employment_law,Professional Services
bagel_restaurant,Food & Dining
rv_rentals,Automotive
condominium,Accommodation
engraving,Other
fence_and_gate_sales_service,Automotive
motorsports_store,Retail & Shopping
custom_clothing,Transportation
social_media_agency,Government & Public Services
superstore,Retail & Shopping
gelato,Food & Dining
food_safety_training,Food & Dining
public_service_and_government,Food & Dining
bus_service,Automotive
pop_up_shop,Retail & Shopping
miniature_golf_course,Entertainment & Recreation
linen,Other
religious_destination,Religious & Spiritual
dumpster_rentals,Automotive
fort,Other
pharmacy,Healthcare & Medical
psychiatrist,Healthcare & Medical
public_transportation,Food & Dining
cycling_classes,Entertainment & Recreation
jewelry_and_watches_manufacturer,Industrial & Manufacturing
computer_wholesaler,Retail & Shopping
social_security_law,Professional Services
ukrainian_restaurant,Food & Dining
skyscraper,Other
taxidermist,Professional Services
laser_eye_surgery_lasik,Beauty & Personal Care
boxing_club,Entertainment & Recreation
salad_bar,Food & Dining
music_venue,Entertainment & Recreation
carpet_installation,Automotive
kids_hair_salon,Beauty & Personal Care
window_washing,Automotive
floral_designer,Transportation
hockey_equipment,Retail & Shopping
student_union,Education & Learning
retaining_wall_supplier,Home & Garden
tours,Entertainment & Recreation
visitor_center,Community & Social Services
laboratory_testing,Healthcare & Medical
janitorial_services,Professional Services
department_of_social_service,Automotive
lawn_mower_repair_service,Professional Services
eye_care_clinic,Healthcare & Medical
automobile_leasing,Automotive
track_stadium,Entertainment & Recreation
wallpaper_store,Retail & Shopping
podiatry,Other
rock_climbing_gym,Entertainment & Recreation
dumpling_restaurant,Food & Dining
furniture_store,Retail & Shopping
art_museum,Entertainment & Recreation
obstetrician_and_gynecologist,Healthcare & Medical
social_and_human_services,Automotive
grilling_equipment,Other
guatemalan_restaurant,Food & Dining
post_office,Government & Public Services
arcade,Entertainment & Recreation
dermatologist,Healthcare & Medical
political_organization,Community & Social Services
french_restaurant,Food & Dining
building_contractor,Professional Services
bubble_soccer_field,Entertainment & Recreation
bagel_shop,Retail & Shopping
wedding_chapel,Religious & Spiritual
bar,Food & Dining
periodontist,Healthcare & Medical
hotel_bar,Food & Dining
naturopathic_holistic,Healthcare & Medical
mobile_phone_accessories,Automotive
kombucha,Food & Dining
software_development,Industrial & Manufacturing
b2b_tractor_dealers,Automotive
merchandising_service,Automotive
stress_management_services,Professional Services
anglican_church,Religious & Spiritual
record_label,Other
pet_transportation,Transportation
mass_media,Religious & Spiritual
childbirth_education,Education & Learning
blacksmiths,Other
oxygen_bar,Food & Dining
real_estate,Professional Services
masonry_concrete,Home & Garden
taekwondo_club,Entertainment & Recreation
business_brokers,Professional Services
military_surplus_store,Retail & Shopping
moroccan_restaurant,Food & Dining
youth_organizations,Community & Social Services
sailing_area,Entertainment & Recreation
instrumentation_engineers,Professional Services
lodge,Accommodation
tax_services,Professional Services
embassy,Government & Public Services
hydraulic_equipment_supplier,Industrial & Manufacturing
acai_bowls,Food & Dining
aircraft_parts_and_supplies,Automotive
british_restaurant,Food & Dining
natural_hot_springs,Natural Features & Outdoor
indoor_golf_center,Entertainment & Recreation
calligraphy,Other
metro_station,Transportation
television_service_providers,Automotive
memory_care,Healthcare & Medical
circus_school,Entertainment & Recreation
language_school,Education & Learning
furniture_manufacturers,Industrial & Manufacturing
middle_eastern_restaurant,Food & Dining
hospital_equipment_and_supplies,Healthcare & Medical
indian_sweets_shop,Retail & Shopping
registry_office,Government & Public Services
university_housing,Education & Learning
acne_treatment,Community & Social Services
rest_stop,Other
caterer,Food & Dining
auditorium,Government & Public Services
convents_and_monasteries,Religious & Spiritual
appraisal_services,Professional Services
musical_instrument_services,Entertainment & Recreation
sugar_shack,Other
podiatrist,Healthcare & Medical
cards_and_stationery_store,Retail & Shopping
archery_shop,Retail & Shopping
newspaper_advertising,Professional Services
karaoke_rental,Entertainment & Recreation
club_crawl,Entertainment & Recreation
home_security,Professional Services
meditation_center,Beauty & Personal Care
dentistry_schools,Healthcare & Medical
military_museum,Entertainment & Recreation
holiday_park,Entertainment & Recreation
music_school,Entertainment & Recreation
motorsport_vehicle_dealer,Automotive
3d_printing_service,Automotive
botanical_garden,Home & Garden
pet_groomer,Other
public_plaza,Food & Dining
traffic_school,Education & Learning
exterior_design,Transportation
rv_and_boat_storage_facility,Professional Services
life_insurance,Professional Services
b2b_energy_and_mining,Other
potato_restaurant,Food & Dining
lice_treatment,Community & Social Services
media_critic,Other
pancake_house,Home & Garden
computer_coaching,Education & Learning
college_counseling,Healthcare & Medical
romanian_restaurant,Food & Dining
septic_services,Automotive
mobile_dent_repair,Automotive
immigration_law,Professional Services
boat_parts_and_accessories,Retail & Shopping
airsoft_fields,Natural Features & Outdoor
beach_volleyball_court,Entertainment & Recreation
airport,Transportation
specialty_school,Retail & Shopping
marble_and_granite_professionals,Other
bird_shop,Retail & Shopping
blueprinters,Other
commercial_industrial,Government & Public Services
cupcake_shop,Retail & Shopping
junkyard,Automotive
cannabis_tour,Entertainment & Recreation
boat_storage_facility,Professional Services
climbing_service,Entertainment & Recreation
salsa_club,Entertainment & Recreation
lingerie_store,Retail & Shopping
tax_office,Professional Services
funeral_services_and_cemeteries,Automotive
it_support_and_service,Automotive
livestock_dealers,Automotive
wok_restaurant,Food & Dining
home_health_care,Healthcare & Medical
cosmetology_school,Education & Learning
used_bookstore,Retail & Shopping
office_of_vital_records,Government & Public Services
hospital,Healthcare & Medical
fair,Entertainment & Recreation
auto_company,Automotive
river,Natural Features & Outdoor
lighting_fixtures_and_equipment,Other
holistic_animal_care,Automotive
campus_building,Education & Learning
cooking_school,Education & Learning
automobile_registration_service,Automotive
coach_bus,Transportation
hvac_services,Professional Services
home_goods_store,Retail & Shopping
bubble_tea,Food & Dining
drama_school,Education & Learning
pediatric_anesthesiology,Healthcare & Medical
canteen,Other
horse_riding,Other
b2b_electronic_equipment,Other
food_court,Food & Dining
paternity_tests_and_services,Automotive
dairy_stores,Retail & Shopping
roadside_assistance,Automotive
ziplining_center,Community & Social Services
cosmetic_and_beauty_supplies,Retail & Shopping
tea_room,Food & Dining
transmission_repair,Automotive
clothing_store,Retail & Shopping
medical_school,Healthcare & Medical
preventive_medicine,Healthcare & Medical
flyboarding_rental,Automotive
home_cleaning,Professional Services
childrens_hospital,Healthcare & Medical
american_restaurant,Food & Dining
plastic_manufacturer,Industrial & Manufacturing
editorial_services,Automotive
iron_and_steel_store,Retail & Shopping
slovakian_restaurant,Food & Dining
bingo_hall,Other
brokers,Industrial & Manufacturing
ski_and_snowboard_shop,Retail & Shopping
landscape_architect,Professional Services
community_gardens,Home & Garden
kids_recreation_and_party,Entertainment & Recreation
pet_insurance,Professional Services
immigration_and_naturalization,Government & Public Services
board_of_education_offices,Education & Learning
onsen,Other
fuel_dock,Transportation
high_gliding_center,Community & Social Services
public_school,Food & Dining
clothing_rental,Automotive
warehouses,Retail & Shopping
shredding_services,Automotive
ice_skating_rink,Entertainment & Recreation
rental_kiosks,Automotive
modern_art_museum,Entertainment & Recreation
singaporean_restaurant,Food & Dining
wills_trusts_and_probate,Government & Public Services
hair_replacement,Beauty & Personal Care
cancer_treatment_center,Healthcare & Medical
greenhouses,Home & Garden
skating_rink,Entertainment & Recreation
environmental_medicine,Healthcare & Medical
steakhouse,Food & Dining
contract_law,Professional Services
bike_parking,Entertainment & Recreation
gunsmith,Other
social_service_organizations,Automotive
occupational_safety,Home & Garden
child_psychiatrist,Healthcare & Medical
esports_league,Entertainment & Recreation
business_signage,Professional Services
greek_restaurant,Food & Dining
glass_blowing,Automotive
secretarial_services,Automotive
shopping,Retail & Shopping
bathroom_remodeling,Home & Garden
boxing_gym,Entertainment & Recreation
telephone_services,Automotive
trusts,Other
department_store,Retail & Shopping
hat_shop,Retail & Shopping
hockey_field,Entertainment & Recreation
wholesaler,Retail & Shopping
himalayan_nepalese_restaurant,Food & Dining
executive_search_consultants,Professional Services
ceiling_and_roofing_repair_and_service,Professional Services
adult_store,Retail & Shopping
colonics,Other
college_university,Education & Learning
town_car_service,Automotive
sommelier_service,Automotive
mechanical_engineers,Professional Services
landmark_and_historical_building,Natural Features & Outdoor
environmental_conservation_and_ecological_organizations,Automotive
public_adjuster,Food & Dining
bus_tours,Entertainment & Recreation
exporters,Transportation
laboratory_equipment_supplier,Healthcare & Medical
customized_merchandise,Other
produce_wholesaler,Retail & Shopping
medical_cannabis_referral,Healthcare & Medical
hunting_and_fishing_supplies,Entertainment & Recreation
