om_category,fsq_category_name,fsq_category_label,confidence_score
real_estate_agent,Real Estate Agency,Business and Professional Services > Real Estate Service > Real Estate Agency,79.0
gay_and_lesbian_services_organization,Social Services Organization,Community and Government > Organization > Social Services Organization,78.9
childrens_clothing_store,Children's Clothing Store,Retail > Fashion Retail > Children's Clothing Store,78.9
fur_clothing,Clothing Store,Retail > Fashion Retail > Clothing Store,78.8
danish_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,78.8
nigerian_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,78.8
middle_eastern_restaurant,Middle Eastern Restaurant,Dining and Drinking > Restaurant > Middle Eastern Restaurant,78.8
asian_art_museum,Art Museum,Arts and Entertainment > Museum > Art Museum,78.8
charity_organization,Organization,Community and Government > Organization,78.8
armenian_restaurant,Armenian Restaurant,Dining and Drinking > Restaurant > Armenian Restaurant,78.8
rehabilitation_center,Rehabilitation Center,Community and Government > Rehabilitation Center,78.8
interior_design,Interior Designer,Business and Professional Services > Home Improvement Service > Interior Designer,78.8
poke_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,78.7
meat_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,78.7
cuban_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,78.7
taco_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,78.7
wrap_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,78.7
glass_manufacturer,Manufacturer,Business and Professional Services > Manufacturer,78.7
furniture_rental_service,Rental Service,Business and Professional Services > Rental Service,78.7
fish_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,78.7
bagel_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,78.7
emergency_medicine,Emergency Service,Health and Medicine > Emergency Service,78.6
tea_wholesaler,Wholesaler,Business and Professional Services > Wholesaler,78.6
syrian_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,78.6
automotive_storage_facility,Storage Facility,Business and Professional Services > Storage Facility,78.5
indonesian_restaurant,Indonesian Restaurant,Dining and Drinking > Restaurant > Asian Restaurant > Indonesian Restaurant,78.4
b2b_furniture_and_housewares,Housewares Store,Retail > Furniture and Home Store > Housewares Store,78.4
roller_skating_rink,Skating Rink,Sports and Recreation > Skating > Skating Rink,78.4
recreational_vehicle_parts_and_accessories,Car Parts and Accessories,Retail > Automotive Retail > Car Parts and Accessories,78.3
distribution_services,Distribution Center,Business and Professional Services > Distribution Center,78.3
cocktail_bar,Cocktail Bar,Dining and Drinking > Bar > Cocktail Bar,78.3
employment_agencies,Employment Agency,Business and Professional Services > Employment Agency,78.2
wine_wholesaler,Wholesaler,Business and Professional Services > Wholesaler,78.2
automotive_services_and_repair,Automotive Repair Shop,Business and Professional Services > Automotive Service > Automotive Repair Shop,78.1
ski_resort,Ski Resort and Area,Sports and Recreation > Snow Sports > Ski Resort and Area,78.1
dominican_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,78.0
bubble_soccer_field,Soccer Field,Sports and Recreation > Soccer > Soccer Field,78.0
medical_transportation,Travel and Transportation,Travel and Transportation,78.0
puerto_rican_restaurant,Puerto Rican Restaurant,Dining and Drinking > Restaurant > Caribbean Restaurant > Puerto Rican Restaurant,78.0
dumpling_restaurant,Dumpling Restaurant,Dining and Drinking > Restaurant > Dumpling Restaurant,77.8
afghan_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,77.8
german_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,77.8
modern_art_museum,Art Museum,Arts and Entertainment > Museum > Art Museum,77.8
caribbean_restaurant,Caribbean Restaurant,Dining and Drinking > Restaurant > Caribbean Restaurant,77.8
sports_bar,Sports Club,Sports and Recreation > Sports Club,77.8
canadian_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,77.8
pakistani_restaurant,Pakistani Restaurant,Dining and Drinking > Restaurant > Pakistani Restaurant,77.8
mediterranean_restaurant,Mediterranean Restaurant,Dining and Drinking > Restaurant > Mediterranean Restaurant,77.8
gymnastics_club,Gymnastics,Sports and Recreation > Gymnastics,77.8
tobacco_shop,Tobacco Store,Retail > Tobacco Store,77.8
hawaiian_restaurant,Hawaiian Restaurant,Dining and Drinking > Restaurant > Hawaiian Restaurant,77.8
trail,Retail,Retail,77.8
gardener,Garden Center,Retail > Garden Center,77.7
b2b_scientific_equipment,Scientific Equipment Supplier,Business and Professional Services > Scientific Equipment Supplier,77.7
environmental_conservation_organization,Environmental Organization,Community and Government > Organization > Environmental Organization,77.7
sushi_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,77.7
swiss_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,77.7
soup_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,77.7
iberian_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,77.6
haitian_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,77.6
arabian_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,77.6
african_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,77.6
australian_restaurant,Australian Restaurant,Dining and Drinking > Restaurant > Australian Restaurant,77.6
gluten_free_restaurant,Gluten-Free Restaurant,Dining and Drinking > Restaurant > Gluten-Free Restaurant,77.6
it_service_and_computer_repair,Computer Repair Service,Business and Professional Services > Computer Repair Service,77.6
plastic_manufacturer,Manufacturer,Business and Professional Services > Manufacturer,77.5
event_photography,Event,Event,77.5
venue_and_event_space,Event Space,Business and Professional Services > Event Space,77.5
meat_wholesaler,Wholesaler,Business and Professional Services > Wholesaler,77.5
hair_removal,Hair Removal Service,Business and Professional Services > Health and Beauty Service > Hair Removal Service,77.5
bangladeshi_restaurant,Bangladeshi Restaurant,Dining and Drinking > Restaurant > Bangladeshi Restaurant,77.4
fraternal_organization,Organization,Community and Government > Organization,77.3
volleyball_club,Volleyball Court,Sports and Recreation > Volleyball Court,77.2
tools_wholesaler,Wholesaler,Business and Professional Services > Wholesaler,77.2
limo_services,Limo Service,Travel and Transportation > Transportation Service > Limo Service,77.2
water_supplier,Leather Supplier,Business and Professional Services > Leather Supplier,77.1
cafe,VR Cafe,Arts and Entertainment > VR Cafe,77.1
austrian_restaurant,Austrian Restaurant,Dining and Drinking > Restaurant > Austrian Restaurant,77.0
argentine_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,77.0
lawn_mower_repair_service,Repair Service,Business and Professional Services > Repair Service,77.0
filipino_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,77.0
singaporean_restaurant,Singaporean Restaurant,Dining and Drinking > Restaurant > Asian Restaurant > Singaporean Restaurant,77.0
bolivian_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,77.0
surgeon,Oral Surgeon,Health and Medicine > Physician > Oral Surgeon,77.0
romanian_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,77.0
hydraulic_equipment_supplier,Industrial Equipment Supplier,Business and Professional Services > Industrial Equipment Supplier,76.9
vacation_rental_agents,Vacation Rental,Travel and Transportation > Lodging > Vacation Rental,76.9
astrologer,Psychic and Astrologer,Arts and Entertainment > Psychic and Astrologer,76.8
halal_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,76.8
fabric_wholesaler,Wholesaler,Business and Professional Services > Wholesaler,76.8
fondue_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,76.8
lookout,Scenic Lookout,Landmarks and Outdoors > Scenic Lookout,76.8
uzbek_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,76.8
farm_equipment_repair_service,Equipment Rental Service,Business and Professional Services > Equipment Rental Service,76.7
business_law,Business Center,Business and Professional Services > Business Center,76.7
russian_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,76.6
chicken_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,76.6
linen,Line,Event > Line,76.6
laotian_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,76.6
chilean_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,76.6
spanish_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,76.6
atv_recreation_park,Recreation Center,Sports and Recreation > Recreation Center,76.6
turkish_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,76.6
belgian_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,76.6
assisted_living_facility,Assisted Living,Community and Government > Assisted Living,76.5
community_gardens,Community Center,Community and Government > Community Center,76.4
fmcg_wholesaler,Wholesaler,Business and Professional Services > Wholesaler,76.4
sports_wear,Sports Club,Sports and Recreation > Sports Club,76.4
eatertainment,Entertainment Event,Event > Entertainment Event,76.4
trinidadian_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,76.4
community_center,Community Center,Community and Government > Community Center,76.4
tower_communication_service,Telecommunication Service,Business and Professional Services > Telecommunication Service,76.3
appliance_manufacturer,Manufacturer,Business and Professional Services > Manufacturer,76.3
bulgarian_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,76.2
brazilian_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,76.2
business_banking_service,Business Service,Business and Professional Services > Business Service,76.2
pipe_supplier,Paper Supplier,Business and Professional Services > Paper Supplier,76.2
georgian_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,76.1
game_publisher,Publisher,Business and Professional Services > Publisher,76.1
honduran_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,76.1
dim_sum_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,76.1
law_enforcement,Law Enforcement and Public Safety,Community and Government > Government Building > Law Enforcement and Public Safety,76.1
miniature_golf_course,Mini Golf Course,Arts and Entertainment > Mini Golf Course,76.0
piano_bar,Piano Bar,Dining and Drinking > Bar > Piano Bar,76.0
contractor,Fence Contractor,Business and Professional Services > Home Improvement Service > Fence Contractor,76.0
jewelry_manufacturer,Manufacturer,Business and Professional Services > Manufacturer,76.0
comfort_food_restaurant,Comfort Food Restaurant,Dining and Drinking > Restaurant > Comfort Food Restaurant,76.0
scooter_dealers,Motor Scooter Dealership,Retail > Automotive Retail > Motor Scooter Dealership,76.0
business_to_business,Business Center,Business and Professional Services > Business Center,76.0
british_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,75.9
political_organization,Organization,Community and Government > Organization,75.9
israeli_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,75.9
theme_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,75.8
pop_up_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,75.8
czech_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,75.8
kosher_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,75.8
polish_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,75.8
public_market,Public Art,Arts and Entertainment > Public Art,75.8
washer_and_dryer_repair_service,Repair Service,Business and Professional Services > Repair Service,75.7
discount_store,Discount Store,Retail > Discount Store,75.7
outdoor_advertising,"Print, TV, Radio and Outdoor Advertising Service","Business and Professional Services > Print, TV, Radio and Outdoor Advertising Service",75.7
pan_asian_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,75.7
key_and_locksmith,Locksmith,Business and Professional Services > Locksmith,75.6
kurdish_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,75.6
religious_organization,Organization,Community and Government > Organization,75.6
travel,Travel Agency,Travel and Transportation > Travel Agency,75.6
cambodian_restaurant,Cambodian Restaurant,Dining and Drinking > Restaurant > Asian Restaurant > Cambodian Restaurant,75.5
weight_loss_center,Weight Loss Center,Health and Medicine > Weight Loss Center,75.5
aircraft_manufacturer,Manufacturer,Business and Professional Services > Manufacturer,75.4
slovakian_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,75.4
hot_dog_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,75.4
ethiopian_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,75.4
ecuadorian_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,75.4
car_dealer,Car Dealership,Retail > Automotive Retail > Car Dealership,75.4
mongolian_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,75.4
homeopathic_medicine,Health and Medicine,Health and Medicine,75.3
portuguese_restaurant,Portuguese Restaurant,Dining and Drinking > Restaurant > Portuguese Restaurant,75.3
animal_hospital,Hospital,Health and Medicine > Hospital,75.3
community_museum,Community Center,Community and Government > Community Center,75.3
skin_care,Skin Care Clinic,Business and Professional Services > Health and Beauty Service > Skin Care Clinic,75.2
bank_credit_union,Credit Union,Business and Professional Services > Financial Service > Banking and Finance > Credit Union,75.2
lingerie_wholesaler,Wholesaler,Business and Professional Services > Wholesaler,75.2
jamaican_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,75.1
egyptian_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,75.1
seafood_market,Market,Retail > Market,75.1
state_park,Skate Park,Sports and Recreation > Skating > Skate Park,75.1
paralegal_services,Legal Service,Business and Professional Services > Legal Service,75.1
peruvian_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,75.1
ceiling_service,Welding Service,Business and Professional Services > Welding Service,75.1
taiwanese_restaurant,Taiwanese Restaurant,Dining and Drinking > Restaurant > Asian Restaurant > Chinese Restaurant > Taiwanese Restaurant,75.1
ice_supplier,Refrigeration and Ice Supplier,Business and Professional Services > Refrigeration and Ice Supplier,75.1
topic_publisher,Publisher,Business and Professional Services > Publisher,75.0
desserts,Dessert Shop,Dining and Drinking > Dessert Shop,75.0
piercing,Body Piercing Shop,Business and Professional Services > Health and Beauty Service > Body Piercing Shop,75.0
emergency_roadside_service,Emergency Service,Health and Medicine > Emergency Service,75.0
drama_school,Samba School,Arts and Entertainment > Samba School,74.9
waffle_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,74.9
health_food_store,Health Food Store,Retail > Food and Beverage Retail > Health Food Store,74.9
basque_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,74.9
noodles_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,74.9
international_business_and_trade_services,Business and Professional Services,Business and Professional Services,74.9
produce_wholesaler,Wholesaler,Business and Professional Services > Wholesaler,74.9
potato_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,74.9
panamanian_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,74.8
nicaraguan_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,74.8
vegetarian_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,74.8
bar_and_grill_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,74.7
salvadoran_restaurant,Salvadoran Restaurant,Dining and Drinking > Restaurant > Latin American Restaurant > Salvadoran Restaurant,74.7
moroccan_restaurant,Moroccan Restaurant,Dining and Drinking > Restaurant > Moroccan Restaurant,74.7
apartments,Department Store,Retail > Department Store,74.6
motorsports_store,Motorsports Store,Retail > Automotive Retail > Motorsports Store,74.6
hookah_bar,Hookah Bar,Dining and Drinking > Bar > Hookah Bar,74.5
rock_climbing_instructor,Rock Climbing Spot,Landmarks and Outdoors > Rock Climbing Spot,74.5
lebanese_restaurant,Lebanese Restaurant,Dining and Drinking > Restaurant > Middle Eastern Restaurant > Lebanese Restaurant,74.4
motorcycle_gear,Motorcycle Dealership,Retail > Automotive Retail > Motorcycle Dealership,74.4
animal_rescue_service,Rescue Service,Community and Government > Government Building > Law Enforcement and Public Safety > Rescue Service,74.4
mobile_phone_store,Mobile Phone Store,Retail > Computers and Electronics Retail > Mobile Phone Store,74.4
animal_physical_therapy,Physical Therapy Clinic,Health and Medicine > Physical Therapy Clinic,74.3
gymnastics_center,Gymnastics Center,Sports and Recreation > Gymnastics > Gymnastics Center,74.3
lighting_store,Lighting Store,Retail > Furniture and Home Store > Lighting Store,74.3
travel_agents,Travel Agency,Travel and Transportation > Travel Agency,74.3
mattress_store,Mattress Store,Retail > Furniture and Home Store > Mattress Store,74.3
archaeological_services,Geological Service,Business and Professional Services > Geological Service,74.2
motorcycle_manufacturer,Manufacturer,Business and Professional Services > Manufacturer,74.2
diy_foods_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,74.2
traditional_clothing,Clothing Store,Retail > Fashion Retail > Clothing Store,74.2
seafood_wholesaler,Wholesaler,Business and Professional Services > Wholesaler,74.1
optical_wholesaler,Wholesaler,Business and Professional Services > Wholesaler,74.1
law_schools,Law School,Community and Government > Education > College and University > Law School,74.0
polynesian_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,74.0
seafood_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,74.0
scottish_restaurant,Scottish Restaurant,Dining and Drinking > Restaurant > Scottish Restaurant,74.0
it_consultant,Management Consultant,Business and Professional Services > Management Consultant,74.0
poutinerie_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,74.0
shoe_factory,Factory,Business and Professional Services > Factory,73.9
kids_hair_salon,Hair Salon,Business and Professional Services > Health and Beauty Service > Hair Salon,73.9
persian_iranian_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,73.9
valet_service,Event Service,Business and Professional Services > Event Service,73.9
buffet_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,73.9
texmex_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,73.9
beer_bar,Beer Garden,Dining and Drinking > Bar > Beer Garden,73.8
transcription_services,Transportation Service,Travel and Transportation > Transportation Service,73.8
state_museum,Museum,Arts and Entertainment > Museum,73.8
warehouses,Warehouse,Business and Professional Services > Warehouse,73.8
malaysian_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,73.7
colombian_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,73.7
uruguayan_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,73.7
cleaning_services,Professional Cleaning Service,Business and Professional Services > Home Improvement Service > Professional Cleaning Service,73.7
osteopathic_physician,Physician,Health and Medicine > Physician,73.7
gay_bar,Gay Bar,Dining and Drinking > Bar > Gay Bar,73.6
wine_bar,Wine Bar,Dining and Drinking > Bar > Wine Bar,73.6
cards_and_stationery_store,Stationery Store,Retail > Stationery Store,73.6
azerbaijani_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,73.6
comic_books_store,Comic Book Store,Retail > Comic Book Store,73.6
sports_psychologist,Psychologist,Health and Medicine > Mental Health Service > Psychologist,73.6
designer_clothing,Clothing Store,Retail > Fashion Retail > Clothing Store,73.5
football_club,Football Club,Sports and Recreation > Football > Football Club,73.4
recreation_vehicle_repair,Recreation Center,Sports and Recreation > Recreation Center,73.4
southern_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,73.4
spiritual_shop,Spiritual Center,Community and Government > Spiritual Center,73.4
cupcake_shop,Cupcake Shop,Dining and Drinking > Dessert Shop > Cupcake Shop,73.4
european_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,73.4
international_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,73.4
public_health_clinic,Healthcare Clinic,Health and Medicine > Healthcare Clinic,73.4
asian_fusion_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,73.4
custom_clothing,Clothing Store,Retail > Fashion Retail > Clothing Store,73.3
perfume_store,Perfume Store,Retail > Perfume Store,73.3
cannabis_clinic,Cannabis Store,Retail > Cannabis Store,73.3
antique_store,Antique Store,Retail > Antique Store,73.3
trailer_repair,Trailer Park,Community and Government > Trailer Park,73.3
knitting_supply,Knitting Store,Retail > Knitting Store,73.3
costume_store,Costume Store,Retail > Costume Store,73.3
b2b_truck_equipment_parts_and_accessories,Car Parts and Accessories,Retail > Automotive Retail > Car Parts and Accessories,73.3
framing_store,Framing Store,Retail > Framing Store,73.3
luggage_store,Luggage Store,Retail > Luggage Store,73.3
falafel_restaurant,Falafel Restaurant,Dining and Drinking > Restaurant > Falafel Restaurant,73.2
sunglasses_store,Sunglasses Store,Retail > Fashion Retail > Sunglasses Store,73.2
boat_rental_and_training,Boat Rental,Travel and Transportation > Boat Rental,73.2
kids_recreation_and_party,Recreation Center,Sports and Recreation > Recreation Center,73.2
costa_rican_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,73.2
indo_chinese_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,73.1
laboratory_equipment_supplier,Electrical Equipment Supplier,Business and Professional Services > Electrical Equipment Supplier,73.0
taxi_service,Taxi,Travel and Transportation > Transportation Service > Taxi,73.0
tiki_bar,Tiki Bar,Dining and Drinking > Bar > Tiki Bar,73.0
herb_and_spice_shop,Herbs and Spices Store,Retail > Food and Beverage Retail > Herbs and Spices Store,73.0
martial_arts_club,Martial Arts Dojo,Sports and Recreation > Martial Arts Dojo,73.0
burmese_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,73.0
bike_parking,Parking,Travel and Transportation > Parking,73.0
electrical_wholesaler,Wholesaler,Business and Professional Services > Wholesaler,72.9
home_and_garden,Garden Center,Retail > Garden Center,72.9
canteen,Labour Canteen,Dining and Drinking > Restaurant > French Restaurant > Labour Canteen,72.9
pop_up_shop,Pop-Up Store,Retail > Pop-Up Store,72.9
ceremonial_clothing,Clothing Store,Retail > Fashion Retail > Clothing Store,72.9
chicken_wings_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,72.8
water_treatment_equipment_and_services,Water Treatment Service,Business and Professional Services > Water Treatment Service,72.8
image_consultant,Management Consultant,Business and Professional Services > Management Consultant,72.8
marina,Harbor or Marina,Landmarks and Outdoors > Harbor or Marina,72.8
pediatric_dentist,Dentist,Health and Medicine > Dentist,72.8
medical_service_organizations,Social Services Organization,Community and Government > Organization > Social Services Organization,72.8
telecommunications,Telecommunication Service,Business and Professional Services > Telecommunication Service,72.8
carpet_store,Carpet Store,Retail > Furniture and Home Store > Carpet Store,72.7
mobile_phone_repair,Mobile Phone Store,Retail > Computers and Electronics Retail > Mobile Phone Store,72.7
tire_repair_shop,Tire Repair Shop,Business and Professional Services > Automotive Service > Tire Repair Shop,72.7
audiologist,Radiologist,Health and Medicine > Physician > Radiologist,72.6
barbecue_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,72.6
ethical_grocery,Grocery Store,Retail > Food and Beverage Retail > Grocery Store,72.6
career_counseling,Career Counselor,Business and Professional Services > Career Counselor,72.6
scuba_diving_center,Scuba Diving Instructor,Sports and Recreation > Water Sports > Scuba Diving Instructor,72.5
automotive_consultant,Automotive Shop,Retail > Automotive Shop,72.4
electronics_repair_shop,Electronics Store,Retail > Computers and Electronics Retail > Electronics Store,72.4
racquetball_court,Racquetball Club,Sports and Recreation > Racquet Sports > Racquetball Club,72.4
inventory_control_service,Pest Control Service,Business and Professional Services > Home Improvement Service > Pest Control Service,72.4
design_museum,Museum,Arts and Entertainment > Museum,72.4
importer_and_exporter,Import and Export Service,Business and Professional Services > Import and Export Service,72.4
snow_removal_service,Hair Removal Service,Business and Professional Services > Health and Beauty Service > Hair Removal Service,72.4
venezuelan_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,72.3
senegalese_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,72.3
ice_cream_shop,Ice Cream Parlor,Dining and Drinking > Dessert Shop > Ice Cream Parlor,72.3
paraguayan_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,72.3
attraction_farm,Attraction,Arts and Entertainment > Amusement Park > Attraction,72.2
propane_supplier,Paper Supplier,Business and Professional Services > Paper Supplier,72.2
hepatologist,Pathologist,Health and Medicine > Physician > Pathologist,72.2
acne_treatment,Addiction Treatment Center,Community and Government > Addiction Treatment Center,72.2
hotel_bar,Hotel Bar,Dining and Drinking > Bar > Hotel Bar,72.2
beach_bar,Beach Bar,Dining and Drinking > Bar > Beach Bar,72.2
food,Food Court,Dining and Drinking > Food Court,72.2
wedding_chapel,Wedding Hall,Business and Professional Services > Wedding Hall,72.1
sky_diving,Skydiving Center,Sports and Recreation > Skydiving Center,72.1
home_inspector,Home Inspection,Business and Professional Services > Home Improvement Service > Home Inspection,72.1
personal_care_service,Child Care Service,Business and Professional Services > Child Care Service,72.1
employment_law,Employment Agency,Business and Professional Services > Employment Agency,72.1
fishing_charter,Fishing Area,Sports and Recreation > Fishing Area,72.1
car_wash,Car Wash and Detail,Business and Professional Services > Automotive Service > Car Wash and Detail,72.0
business_advertising,Advertising Agency,Business and Professional Services > Advertising Agency,72.0
flatbread_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,72.0
motorcycle_rentals,Motorcycle Dealership,Retail > Automotive Retail > Motorcycle Dealership,72.0
massage,Massage Clinic,Business and Professional Services > Health and Beauty Service > Massage Clinic,72.0
photography_store_and_services,Photography Service,Business and Professional Services > Photography Service,72.0
frozen_yoghurt_shop,Frozen Yogurt Shop,Dining and Drinking > Dessert Shop > Frozen Yogurt Shop,72.0
neurotologist,Neurologist,Health and Medicine > Physician > Neurologist,71.9
bank_equipment_service,Equipment Rental Service,Business and Professional Services > Equipment Rental Service,71.9
footwear_wholesaler,Wholesaler,Business and Professional Services > Wholesaler,71.9
computer_wholesaler,Wholesaler,Business and Professional Services > Wholesaler,71.9
addiction_rehabilitation_center,Rehabilitation Center,Community and Government > Rehabilitation Center,71.8
real_estate_law,Real Estate Agency,Business and Professional Services > Real Estate Service > Real Estate Agency,71.8
business_signage,Business Center,Business and Professional Services > Business Center,71.8
dive_bar,Dive Bar,Dining and Drinking > Bar > Dive Bar,71.8
water_softening_equipment_supplier,Scientific Equipment Supplier,Business and Professional Services > Scientific Equipment Supplier,71.8
sake_bar,Sake Bar,Dining and Drinking > Bar > Sake Bar,71.8
csa_farm,Farm,Landmarks and Outdoors > Farm,71.7
heliports,Heliport,Travel and Transportation > Transport Hub > Heliport,71.7
garbage_collection_service,Collections Service,Business and Professional Services > Financial Service > Collections Service,71.7
christmas_trees,Christmas Market,Event > Marketplace > Christmas Market,71.7
childbirth_education,Education,Community and Government > Education,71.7
party_equipment_rental,Equipment Rental Service,Business and Professional Services > Equipment Rental Service,71.7
guatemalan_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,71.6
cannabis_dispensary,Marijuana Dispensary,Retail > Marijuana Dispensary,71.6
clothing_rental,Clothing Store,Retail > Fashion Retail > Clothing Store,71.6
ticket_sales,Ticket Seller,Arts and Entertainment > Ticket Seller,71.6
pharmacy_schools,Pharmacy,Retail > Pharmacy,71.6
metals,Metals Supplier,Business and Professional Services > Metals Supplier,71.5
contemporary_art_museum,Art Museum,Arts and Entertainment > Museum > Art Museum,71.5
live_and_raw_food_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,71.5
agriculture,Agriculture and Forestry Service,Business and Professional Services > Agriculture and Forestry Service,71.4
betting_center,Betting Shop,Retail > Betting Shop,71.4
web_designer,Website Designer,Business and Professional Services > Technology Business > Website Designer,71.4
day_care_preschool,Preschool,Community and Government > Education > Preschool,71.4
plus_size_clothing,Clothing Store,Retail > Fashion Retail > Clothing Store,71.4
cosmetic_dentist,Dentist,Health and Medicine > Dentist,71.4
medical_cannabis_referral,Cannabis Store,Retail > Cannabis Store,71.4
hospitalist,Hospital,Health and Medicine > Hospital,71.4
pet_sitting,Pet Sitting and Boarding Service,Business and Professional Services > Pet Service > Pet Sitting and Boarding Service,71.4
cement_supplier,Metals Supplier,Business and Professional Services > Metals Supplier,71.2
pie_shop,Pie Shop,Dining and Drinking > Dessert Shop > Pie Shop,71.2
community_health_center,Community Center,Community and Government > Community Center,71.2
writing_service,"Writing, Copywriting and Technical Writing Service","Business and Professional Services > Writing, Copywriting and Technical Writing Service",71.2
bus_service,Business Service,Business and Professional Services > Business Service,71.2
