CATEGORY_LABEL,SIMPLIFIED_CATEGORY
flowers_and_gifts_shop,Retail & Shopping
prosthetics,Other Services
telemarketing_services,Retail & Shopping
knitting_supply,Retail & Shopping
korean_grocery_store,Retail & Shopping
meat_restaurant,Food & Dining
theatre,Arts & Entertainment
tui_na,Other Services
bartending_school,Food & Dining
agricultural_service,Agriculture & Farming
textile_mill,Manufacturing & Industrial
maternity_wear,Healthcare & Medical
colombian_restaurant,Food & Dining
brewing_supply_store,Retail & Shopping
organ_and_tissue_donor_service,Other Services
automotive_repair,Automotive
media_agency,Government & Public Services
cosmetic_surgeon,Healthcare & Medical
diving_center,Sports & Recreation
patent_law,Professional Services
sand_dune,Parks & Natural Features
bike_rentals,Other Services
lighting_store,Retail & Shopping
abuse_and_addiction_treatment,Financial Services
certification_agency,Government & Public Services
pet_sitting,Pet Services
parking,Transportation
karaoke,Arts & Entertainment
civil_engineers,Professional Services
indoor_landscaping,Home & Garden Services
shutters,Other Services
radio_station,Media & Communications
oil_and_gas,Manufacturing & Industrial
radio_and_television_commercials,Other Services
environmental_abatement_services,Manufacturing & Industrial
private_equity_firm,Other Services
passport_and_visa_services,Government & Public Services
trophy_shop,Retail & Shopping
herb_and_spice_shop,Retail & Shopping
holding_companies,Other Services
geriatric_medicine,Healthcare & Medical
logging_services,Other Services
brazilian_restaurant,Food & Dining
astrologer,Religious & Spiritual
hot_air_balloons_tour,Other Services
abortion_clinic,Healthcare & Medical
asian_art_museum,Arts & Entertainment
orthopedist,Healthcare & Medical
toll_stations,Utilities & Infrastructure
disability_services_and_support_organization,Transportation
gymnastics_center,Beauty & Wellness
industrial_equipment,Manufacturing & Industrial
flooring_store,Retail & Shopping
sex_therapist,Healthcare & Medical
medical_sciences_schools,Healthcare & Medical
interlock_system,Other Services
comic_books_store,Retail & Shopping
medical_research_and_development,Healthcare & Medical
corporate_entertainment_services,Arts & Entertainment
tools_wholesaler,Other Services
major_airports,Transportation
ambulance_and_ems_services,Other Services
telecommunications_company,Utilities & Infrastructure
home_automation,Automotive
photo_booth_rental,Event Services
racquetball_court,Sports & Recreation
chilean_restaurant,Food & Dining
tubing_provider,Sports & Recreation
cheerleading,Other Services
box_lunch_supplier,Business-to-Business
doctor,Healthcare & Medical
web_hosting_service,Technology & IT
qi_gong_studio,Arts & Entertainment
hungarian_restaurant,Food & Dining
russian_grocery_store,Retail & Shopping
animal_assisted_therapy,Healthcare & Medical
comfort_food_restaurant,Food & Dining
self_defense_classes,Education
austrian_restaurant,Food & Dining
urgent_care_clinic,Healthcare & Medical
court_reporter,Sports & Recreation
agriculture_association,Agriculture & Farming
pet_services,Pet Services
rafting_kayaking_area,Sports & Recreation
leather_goods,Other Services
vinyl_record_store,Retail & Shopping
hybrid_car_repair,Automotive
banks,Financial Services
horse_trainer,Beauty & Wellness
geological_services,Other Services
tv_mounting,Other Services
weather_forecast_services,Other Services
gliderports,Transportation
day_care_preschool,Education
ophthalmologist,Healthcare & Medical
private_school,Education
acoustical_consultant,Professional Services
hiking_trail,Sports & Recreation
phlebologist,Other Services
parasailing_ride_service,Sports & Recreation
gay_bar,Food & Dining
life_coach,Education
comedy_club,Arts & Entertainment
state_museum,Arts & Entertainment
self_catering_accommodation,Accommodation & Lodging
personal_injury_law,Professional Services
auto_parts_and_supply_store,Retail & Shopping
montessori_school,Education
water_softening_equipment_supplier,Business-to-Business
neuropathologist,Healthcare & Medical
kurdish_restaurant,Food & Dining
toxicologist,Healthcare & Medical
serbo_croatian_restaurant,Food & Dining
food_truck,Food & Dining
central_government_office,Government & Public Services
medical_spa,Healthcare & Medical
pet_breeder,Pet Services
furniture_repair,Automotive
tapas_bar,Food & Dining
first_aid_class,Education
pan_asian_restaurant,Food & Dining
diamond_dealer,Automotive
wrap_restaurant,Food & Dining
weight_loss_center,Beauty & Wellness
vocational_and_technical_school,Education
sperm_clinic,Healthcare & Medical
travel_services,Other Services
video_and_video_game_rentals,Other Services
shipping_collection_services,Other Services
bangladeshi_restaurant,Food & Dining
lounge,Food & Dining
memorial_park,Tourism & Attractions
cambodian_restaurant,Food & Dining
mortuary_services,Other Services
pipeline_transportation,Utilities & Infrastructure
automotive,Automotive
private_investigation,Other Services
fmcg_wholesaler,Other Services
sports_medicine,Healthcare & Medical
print_media,Media & Communications
guest_house,Accommodation & Lodging
tower,Other Services
swiss_restaurant,Food & Dining
pizza_delivery_service,Food & Dining
strip_club,Other Services
paint_and_sip,Other Services
hydroponic_gardening,Parks & Natural Features
railway_ticket_agent,Transportation
nail_salon,Beauty & Wellness
cocktail_bar,Food & Dining
educational_services,Education
tattoo,Beauty & Wellness
home_network_installation,Technology & IT
haitian_restaurant,Food & Dining
turkish_restaurant,Food & Dining
soup_restaurant,Food & Dining
event_planning,Event Services
swimming_pool,Sports & Recreation
dj_service,Event Services
spanish_restaurant,Food & Dining
temp_agency,Professional Services
career_counseling,Community & Social Services
b2b_jewelers,Business-to-Business
drive_in_theater,Arts & Entertainment
arabian_restaurant,Food & Dining
dentist,Healthcare & Medical
chimney_service,Home & Garden Services
empanadas,Food & Dining
party_and_event_planning,Event Services
public_relations,Food & Dining
auto_loan_provider,Automotive
dominican_restaurant,Food & Dining
tai_chi_studio,Arts & Entertainment
popcorn_shop,Food & Dining
wind_energy,Utilities & Infrastructure
laboratory,Other Services
music_production_services,Arts & Entertainment
adoption_services,Pet Services
laser_tag,Sports & Recreation
estate_liquidation,Government & Public Services
sauna,Beauty & Wellness
pen_store,Retail & Shopping
trailer_rentals,Sports & Recreation
pool_and_billiards,Other Services
geriatric_psychiatry,Other Services
direct_mail_advertising,Professional Services
business,Other Services
water_treatment_equipment_and_services,Financial Services
aircraft_repair,Automotive
atv_rentals_and_tours,Tourism & Attractions
handicraft_shop,Retail & Shopping
piano_bar,Food & Dining
handyman,Home & Garden Services
it_consultant,Professional Services
chinese_martial_arts_club,Beauty & Wellness
art_space_rental,Beauty & Wellness
designer_clothing,Retail & Shopping
used_car_dealer,Automotive
sports_and_fitness_instruction,Beauty & Wellness
whiskey_bar,Food & Dining
solar_panel_cleaning,Home & Garden Services
plastic_fabrication_company,Manufacturing & Industrial
cooking_classes,Education
b2b_agriculture_and_food,Food & Dining
ski_area,Sports & Recreation
money_transfer_services,Other Services
home_service,Other Services
surgical_appliances_and_supplies,Other Services
health_insurance_office,Healthcare & Medical
aerial_tours,Sports & Recreation
bookstore,Retail & Shopping
structural_engineer,Professional Services
business_schools,Education
movers,Home & Garden Services
home_and_garden,Parks & Natural Features
iron_and_steel_industry,Manufacturing & Industrial
osteopathic_physician,Healthcare & Medical
coffee_roastery,Food & Dining
engineering_schools,Education
retirement_home,Automotive
preschool,Education
perfume_store,Retail & Shopping
hypnosis_hypnotherapy,Healthcare & Medical
face_painting,Construction & Contractors
limo_services,Transportation
furniture_assembly,Manufacturing & Industrial
photography_museum,Arts & Entertainment
sheet_metal,Manufacturing & Industrial
federal_government_offices,Government & Public Services
plastic_injection_molding_workshop,Retail & Shopping
automotive_dealer,Automotive
food_banks,Food & Dining
evangelical_church,Religious & Spiritual
fast_food_restaurant,Food & Dining
internet_service_provider,Utilities & Infrastructure
digitizing_services,Other Services
drinking_water_dispenser,Other Services
woodworking_supply_store,Retail & Shopping
water_heater_installation_repair,Automotive
pediatric_oncology,Healthcare & Medical
fitness_equipment_wholesaler,Beauty & Wellness
furniture_wholesalers,Other Services
agricultural_seed_store,Retail & Shopping
home_energy_auditor,Utilities & Infrastructure
restaurant_management,Food & Dining
craft_shop,Retail & Shopping
computer_hardware_company,Other Services
japanese_grocery_store,Retail & Shopping
dance_wear,Other Services
prenatal_perinatal_care,Healthcare & Medical
esports_team,Sports & Recreation
motorsport_vehicle_repair,Automotive
dental_hygienist,Healthcare & Medical
senior_citizen_services,Community & Social Services
noodles_restaurant,Food & Dining
patio_covers,Home & Garden Services
paraguayan_restaurant,Food & Dining
session_photography,Other Services
real_estate_service,Real Estate
welders,Community & Social Services
house_sitting,Other Services
flour_mill,Manufacturing & Industrial
broadcasting_media_production,Arts & Entertainment
mailbox_center,Other Services
art_restoration_service,Automotive
national_museum,Arts & Entertainment
distribution_services,Manufacturing & Industrial
rock_climbing_instructor,Sports & Recreation
theatrical_productions,Arts & Entertainment
gerontologist,Other Services
product_design,Professional Services
library,Education
korean_restaurant,Food & Dining
appliance_store,Retail & Shopping
holiday_rental_home,Other Services
rugby_stadium,Sports & Recreation
iberian_restaurant,Food & Dining
yoga_studio,Beauty & Wellness
wood_and_pulp,Other Services
dui_school,Education
props,Other Services
pet_cemetery_and_crematorium_services,Pet Services
beverage_store,Retail & Shopping
poultry_farming,Agriculture & Farming
religious_school,Education
food_delivery_service,Food & Dining
steel_fabricators,Manufacturing & Industrial
electronics_repair_shop,Retail & Shopping
buddhist_temple,Religious & Spiritual
casting_molding_and_machining,Other Services
osteopath,Other Services
chinese_restaurant,Food & Dining
bakery,Food & Dining
bottled_water_company,Other Services
bathroom_fixture_stores,Retail & Shopping
transportation,Transportation
law_enforcement,Professional Services
wellness_program,Other Services
taiwanese_restaurant,Food & Dining
business_records_storage_and_management,Professional Services
home_staging,Real Estate
state_park,Government & Public Services
environmental_and_ecological_services_for_businesses,Manufacturing & Industrial
waterproofing,Construction & Contractors
airline,Transportation
candle_store,Retail & Shopping
process_servers,Other Services
domestic_business_and_trade_organizations,Community & Social Services
vehicle_wrap,Automotive
wildlife_control,Parks & Natural Features
brazilian_jiu_jitsu_club,Beauty & Wellness
mobile_phone_repair,Automotive
squash_court,Sports & Recreation
playground_equipment_supplier,Parks & Natural Features
metal_supplier,Manufacturing & Industrial
acupuncture,Healthcare & Medical
siding,Construction & Contractors
butcher_shop,Food & Dining
bridge,Utilities & Infrastructure
latin_american_restaurant,Food & Dining
architecture,Professional Services
lottery_ticket,Other Services
recreational_vehicle_parts_and_accessories,Automotive
agricultural_engineering_service,Professional Services
dive_bar,Food & Dining
pharmacy_schools,Healthcare & Medical
handball_court,Sports & Recreation
cremation_services,Other Services
soccer_club,Sports & Recreation
cryotherapy,Healthcare & Medical
tire_shop,Retail & Shopping
real_estate_law,Professional Services
panamanian_restaurant,Food & Dining
self_storage_facility,Other Services
hospice,Healthcare & Medical
dog_trainer,Beauty & Wellness
crane_services,Other Services
billing_services,Other Services
rental_services,Event Services
ferry_boat_company,Transportation
watch_store,Retail & Shopping
duplication_services,Other Services
costa_rican_restaurant,Food & Dining
skate_park,Sports & Recreation
fencing_club,Other Services
charter_school,Education
aviation_museum,Arts & Entertainment
computer_store,Retail & Shopping
packing_supply,Other Services
outdoor_movies,Arts & Entertainment
horse_boarding,Sports & Recreation
refinishing_services,Other Services
tenant_and_eviction_law,Professional Services
officiating_services,Other Services
attractions_and_activities,Tourism & Attractions
farming_equipment_store,Retail & Shopping
park_and_rides,Parks & Natural Features
energy_management_and_conservation_consultants,Professional Services
cannabis_dispensary,Retail & Shopping
hematology,Healthcare & Medical
hospitalist,Healthcare & Medical
after_school_program,Education
indoor_playcenter,Other Services
nurse_practitioner,Other Services
courthouse,Sports & Recreation
structure_and_geography,Other Services
knife_sharpening,Other Services
b2b_tires,Automotive
plastic_surgeon,Healthcare & Medical
rock_climbing_spot,Sports & Recreation
nigerian_restaurant,Food & Dining
mountain_bike_parks,Sports & Recreation
electrician,Construction & Contractors
vegetarian_restaurant,Food & Dining
clinical_laboratories,Healthcare & Medical
seafood_wholesaler,Food & Dining
aquarium_services,Arts & Entertainment
tanning_salon,Beauty & Wellness
baby_gear_and_furniture,Other Services
fruits_and_vegetables,Other Services
fingerprinting_service,Manufacturing & Industrial
do_it_yourself_store,Retail & Shopping
washer_and_dryer_repair_service,Automotive
taxi_service,Transportation
waxing,Beauty & Wellness
pets,Other Services
golf_cart_rental,Sports & Recreation
chimney_sweep,Home & Garden Services
dry_cleaning,Home & Garden Services
recreational_vehicle_dealer,Automotive
party_supply,Other Services
ski_resort,Sports & Recreation
soccer_stadium,Sports & Recreation
audiologist,Healthcare & Medical
italian_restaurant,Food & Dining
vehicle_shipping,Automotive
collection_agencies,Other Services
watch_repair_service,Automotive
sledding_rental,Sports & Recreation
event_photography,Other Services
sporting_goods,Retail & Shopping
automotive_consultant,Automotive
international_business_and_trade_services,Other Services
patisserie_cake_shop,Food & Dining
consultant_and_general_service,Professional Services
uzbek_restaurant,Food & Dining
amateur_sports_team,Sports & Recreation
pool_billiards,Other Services
b2b_farming,Agriculture & Farming
trivia_host,Other Services
equestrian_facility,Sports & Recreation
health_spa,Healthcare & Medical
pier,Other Services
pet_boarding,Pet Services
pension,Accommodation & Lodging
biotechnology_company,Technology & IT
sports_wear,Sports & Recreation
environmental_conservation_organization,Manufacturing & Industrial
threading_service,Beauty & Wellness
manufacturing_and_industrial_consultant,Professional Services
winery,Food & Dining
windshield_installation_and_repair,Automotive
travel,Other Services
rv_park,Accommodation & Lodging
driving_range,Other Services
blood_and_plasma_donation_center,Community & Social Services
chicken_wings_restaurant,Food & Dining
piano_services,Other Services
ecuadorian_restaurant,Food & Dining
research_institute,Education
cosmetic_products_manufacturer,Manufacturing & Industrial
fire_protection_service,Other Services
metal_plating_service,Manufacturing & Industrial
burmese_restaurant,Food & Dining
elementary_school,Education
electrical_supply_store,Retail & Shopping
irrigation,Other Services
marriage_or_relationship_counselor,Healthcare & Medical
australian_restaurant,Food & Dining
marketing_consultant,Retail & Shopping
pediatric_cardiology,Healthcare & Medical
electricity_supplier,Utilities & Infrastructure
dog_walkers,Pet Services
international_restaurant,Food & Dining
gas_station,Automotive
walk_in_clinic,Healthcare & Medical
falafel_restaurant,Food & Dining
snorkeling,Sports & Recreation
goldsmith,Other Services
hot_tubs_and_pools,Other Services
caribbean_restaurant,Food & Dining
farrier_services,Other Services
auto_insurance,Automotive
nephrologist,Healthcare & Medical
bounce_house_rental,Sports & Recreation
livestock_feed_and_supply_store,Retail & Shopping
delicatessen,Food & Dining
screen_printing_t_shirt_printing,Manufacturing & Industrial
kitchen_supply_store,Retail & Shopping
fireplace_service,Other Services
dialysis_clinic,Healthcare & Medical
brewery,Food & Dining
ethiopian_restaurant,Food & Dining
temple,Religious & Spiritual
russian_restaurant,Food & Dining
georgian_restaurant,Food & Dining
flatbread_restaurant,Food & Dining
tree_services,Home & Garden Services
health_food_store,Food & Dining
food_and_beverage_consultant,Food & Dining
hang_gliding_center,Other Services
insulation_installation,Construction & Contractors
media_news_website,Media & Communications
alcohol_and_drug_treatment_centers,Financial Services
art_restoration,Automotive
meat_shop,Food & Dining
water_delivery,Other Services
flyboarding_center,Pet Services
flooring_contractors,Construction & Contractors
test_preparation,Other Services
battery_store,Retail & Shopping
sugaring,Beauty & Wellness
drone_store,Retail & Shopping
christmas_trees,Other Services
education,Education
sculpture_statue,Tourism & Attractions
souvenir_shop,Retail & Shopping
immunodermatologist,Healthcare & Medical
park,Parks & Natural Features
waldorf_school,Education
pet_training,Education
buffet_restaurant,Food & Dining
ip_and_internet_law,Professional Services
indian_restaurant,Food & Dining
food,Food & Dining
snow_removal_service,Home & Garden Services
doner_kebab,Food & Dining
emergency_room,Healthcare & Medical
hindu_temple,Religious & Spiritual
adventure_sports_center,Sports & Recreation
background_check_services,Other Services
waffle_restaurant,Food & Dining
shopping_center,Retail & Shopping
auto_electrical_repair,Automotive
family_service_center,Other Services
landscaping,Home & Garden Services
bankruptcy_law,Professional Services
behavior_analyst,Other Services
tiki_bar,Food & Dining
party_bike_rental,Event Services
t_shirt_store,Retail & Shopping
television_station,Media & Communications
child_protection_service,Other Services
decorative_arts_museum,Arts & Entertainment
surgical_center,Other Services
outdoor_advertising,Professional Services
golf_course,Sports & Recreation
scooter_dealers,Automotive
music_production,Arts & Entertainment
monument,Tourism & Attractions
japanese_restaurant,Food & Dining
video_game_store,Retail & Shopping
pediatric_nephrology,Healthcare & Medical
emergency_pet_hospital,Healthcare & Medical
transcription_services,Professional Services
magician,Arts & Entertainment
country_house,Other Services
cannabis_clinic,Healthcare & Medical
labor_union,Community & Social Services
home_window_tinting,Automotive
trampoline_park,Sports & Recreation
irrigation_companies,Other Services
theaters_and_performance_venues,Arts & Entertainment
bathtub_and_sink_repairs,Automotive
sand_and_gravel_supplier,Business-to-Business
medical_transportation,Healthcare & Medical
art_tours,Arts & Entertainment
high_school,Education
airlines,Transportation
petting_zoo,Arts & Entertainment
b2b_machinery_and_tools,Business-to-Business
concierge_medicine,Healthcare & Medical
property_management,Professional Services
farm,Agriculture & Farming
electric_utility_provider,Utilities & Infrastructure
cable_car_service,Automotive
medical_law,Healthcare & Medical
spray_tanning,Beauty & Wellness
skilled_nursing,Healthcare & Medical
hydrotherapy,Healthcare & Medical
neurologist,Healthcare & Medical
cabin,Accommodation & Lodging
truck_gas_station,Automotive
personal_assistant,Personal Services
laotian_restaurant,Food & Dining
cinema,Arts & Entertainment
typing_services,Other Services
baptist_church,Religious & Spiritual
hair_stylist,Beauty & Wellness
pool_and_hot_tub_services,Other Services
beer_garden,Parks & Natural Features
wildlife_hunting_range,Sports & Recreation
hvac_supplier,Construction & Contractors
event_technology_service,Other Services
school_district_offices,Education
custom_cakes_shop,Retail & Shopping
spas,Beauty & Wellness
mediterranean_restaurant,Food & Dining
damage_restoration,Automotive
investing,Other Services
seafood_market,Food & Dining
massage_therapy,Healthcare & Medical
auto_manufacturers_and_distributors,Automotive
cabaret,Food & Dining
mens_clothing_store,Retail & Shopping
pharmaceutical_companies,Other Services
environmental_testing,Manufacturing & Industrial
alcohol_and_drug_treatment_center,Financial Services
basketball_stadium,Sports & Recreation
thread_supplier,Business-to-Business
motorcycle_repair,Automotive
pub,Food & Dining
roller_skating_rink,Sports & Recreation
paper_mill,Manufacturing & Industrial
bar_crawl,Food & Dining
auto_body_shop,Retail & Shopping
movie_television_studio,Arts & Entertainment
assisted_living_facility,Other Services
audiovisual_equipment_rental,Other Services
car_sharing,Automotive
horse_equipment_shop,Retail & Shopping
massage_school,Education
beer_wine_and_spirits,Agriculture & Farming
holiday_decorating,Other Services
hydro_jetting,Other Services
airline_ticket_agency,Government & Public Services
wine_wholesaler,Other Services
matchmaker,Personal Services
housing_cooperative,Arts & Entertainment
smoothie_juice_bar,Food & Dining
cardiovascular_and_thoracic_surgeon,Healthcare & Medical
pharmaceutical_products_wholesaler,Other Services
psychoanalyst,Other Services
storage_facility,Other Services
pizza_restaurant,Food & Dining
altering_and_remodeling_contractor,Construction & Contractors
fabric_store,Retail & Shopping
sightseeing_tour_agency,Government & Public Services
hostel,Accommodation & Lodging
costume_museum,Arts & Entertainment
bank_equipment_service,Financial Services
lookout,Tourism & Attractions
burger_restaurant,Food & Dining
scuba_diving_instruction,Sports & Recreation
walking_tours,Tourism & Attractions
importer_and_exporter,Transportation
wallpaper_installers,Manufacturing & Industrial
endoscopist,Other Services
hotel,Accommodation & Lodging
b2b_cleaning_and_waste_management,Professional Services
orthotics,Other Services
chocolatier,Other Services
apiaries_and_beekeepers,Agriculture & Farming
financial_service,Professional Services
wholesale_florist,Event Services
dance_school,Arts & Entertainment
interior_design,Professional Services
image_consultant,Professional Services
aircraft_dealer,Automotive
axe_throwing,Sports & Recreation
medical_service_organizations,Healthcare & Medical
home_decor,Other Services
diagnostic_imaging,Other Services
health_consultant,Healthcare & Medical
indonesian_restaurant,Food & Dining
nanny_services,Other Services
bookbinding,Other Services
chambers_of_commerce,Other Services
avionics_shop,Retail & Shopping
ice_cream_shop,Food & Dining
persian_iranian_restaurant,Food & Dining
pool_cleaning,Home & Garden Services
science_museum,Arts & Entertainment
animation_studio,Arts & Entertainment
rowing_club,Sports & Recreation
travel_agents,Other Services
macarons,Other Services
placenta_encapsulation_service,Other Services
office_cleaning,Home & Garden Services
health_and_wellness_club,Healthcare & Medical
grout_service,Other Services
generator_installation_repair,Automotive
light_rail_and_subway_stations,Transportation
fondue_restaurant,Food & Dining
beach_equipment_rentals,Parks & Natural Features
electronics,Retail & Shopping
security_systems,Home & Garden Services
organic_grocery_store,Retail & Shopping
badminton_court,Sports & Recreation
body_contouring,Other Services
psychotherapist,Healthcare & Medical
basketball_court,Sports & Recreation
childrens_museum,Arts & Entertainment
pet_hospice,Healthcare & Medical
service_apartments,Accommodation & Lodging
tasting_classes,Education
candy_store,Food & Dining
legal_services,Professional Services
antique_store,Retail & Shopping
recycling_center,Utilities & Infrastructure
shipping_center,Other Services
educational_supply_store,Retail & Shopping
german_restaurant,Food & Dining
weather_station,Other Services
employment_law,Professional Services
bagel_restaurant,Food & Dining
rv_rentals,Other Services
condominium,Accommodation & Lodging
engraving,Personal Services
fence_and_gate_sales_service,Home & Garden Services
motorsports_store,Retail & Shopping
custom_clothing,Retail & Shopping
social_media_agency,Government & Public Services
superstore,Retail & Shopping
gelato,Food & Dining
food_safety_training,Food & Dining
public_service_and_government,Food & Dining
bus_service,Other Services
pop_up_shop,Retail & Shopping
miniature_golf_course,Sports & Recreation
linen,Other Services
religious_destination,Religious & Spiritual
dumpster_rentals,Other Services
fort,Tourism & Attractions
pharmacy,Healthcare & Medical
psychiatrist,Healthcare & Medical
public_transportation,Food & Dining
cycling_classes,Education
jewelry_and_watches_manufacturer,Manufacturing & Industrial
computer_wholesaler,Other Services
social_security_law,Professional Services
ukrainian_restaurant,Food & Dining
skyscraper,Other Services
taxidermist,Transportation
laser_eye_surgery_lasik,Healthcare & Medical
boxing_club,Beauty & Wellness
salad_bar,Food & Dining
music_venue,Arts & Entertainment
carpet_installation,Pet Services
kids_hair_salon,Beauty & Wellness
window_washing,Home & Garden Services
floral_designer,Professional Services
hockey_equipment,Other Services
student_union,Education
retaining_wall_supplier,Business-to-Business
tours,Tourism & Attractions
visitor_center,Tourism & Attractions
laboratory_testing,Other Services
janitorial_services,Home & Garden Services
department_of_social_service,Government & Public Services
lawn_mower_repair_service,Automotive
eye_care_clinic,Healthcare & Medical
automobile_leasing,Automotive
track_stadium,Sports & Recreation
wallpaper_store,Retail & Shopping
podiatry,Other Services
rock_climbing_gym,Beauty & Wellness
dumpling_restaurant,Food & Dining
furniture_store,Retail & Shopping
art_museum,Arts & Entertainment
obstetrician_and_gynecologist,Healthcare & Medical
social_and_human_services,Other Services
grilling_equipment,Other Services
guatemalan_restaurant,Food & Dining
post_office,Government & Public Services
arcade,Arts & Entertainment
dermatologist,Healthcare & Medical
political_organization,Community & Social Services
french_restaurant,Food & Dining
building_contractor,Construction & Contractors
bubble_soccer_field,Sports & Recreation
bagel_shop,Food & Dining
wedding_chapel,Religious & Spiritual
bar,Food & Dining
periodontist,Other Services
hotel_bar,Food & Dining
naturopathic_holistic,Healthcare & Medical
mobile_phone_accessories,Other Services
kombucha,Food & Dining
software_development,Technology & IT
b2b_tractor_dealers,Automotive
merchandising_service,Other Services
stress_management_services,Professional Services
anglican_church,Religious & Spiritual
record_label,Other Services
pet_transportation,Transportation
mass_media,Media & Communications
childbirth_education,Education
blacksmiths,Other Services
oxygen_bar,Food & Dining
real_estate,Real Estate
masonry_concrete,Construction & Contractors
taekwondo_club,Beauty & Wellness
business_brokers,Financial Services
military_surplus_store,Retail & Shopping
moroccan_restaurant,Food & Dining
youth_organizations,Community & Social Services
sailing_area,Sports & Recreation
instrumentation_engineers,Professional Services
lodge,Accommodation & Lodging
tax_services,Professional Services
embassy,Government & Public Services
hydraulic_equipment_supplier,Business-to-Business
acai_bowls,Food & Dining
aircraft_parts_and_supplies,Other Services
british_restaurant,Food & Dining
natural_hot_springs,Parks & Natural Features
indoor_golf_center,Sports & Recreation
calligraphy,Other Services
metro_station,Transportation
television_service_providers,Other Services
memory_care,Other Services
circus_school,Arts & Entertainment
language_school,Education
furniture_manufacturers,Manufacturing & Industrial
middle_eastern_restaurant,Food & Dining
hospital_equipment_and_supplies,Healthcare & Medical
indian_sweets_shop,Retail & Shopping
registry_office,Other Services
university_housing,Education
acne_treatment,Healthcare & Medical
rest_stop,Other Services
caterer,Food & Dining
auditorium,Other Services
convents_and_monasteries,Religious & Spiritual
appraisal_services,Professional Services
musical_instrument_services,Other Services
sugar_shack,Other Services
podiatrist,Healthcare & Medical
cards_and_stationery_store,Retail & Shopping
archery_shop,Retail & Shopping
newspaper_advertising,Beauty & Wellness
karaoke_rental,Arts & Entertainment
club_crawl,Other Services
home_security,Other Services
meditation_center,Religious & Spiritual
dentistry_schools,Healthcare & Medical
military_museum,Arts & Entertainment
holiday_park,Parks & Natural Features
music_school,Education
motorsport_vehicle_dealer,Automotive
3d_printing_service,Manufacturing & Industrial
botanical_garden,Arts & Entertainment
pet_groomer,Pet Services
public_plaza,Food & Dining
traffic_school,Other Services
exterior_design,Professional Services
rv_and_boat_storage_facility,Other Services
life_insurance,Financial Services
b2b_energy_and_mining,Utilities & Infrastructure
potato_restaurant,Food & Dining
lice_treatment,Financial Services
media_critic,Media & Communications
pancake_house,Food & Dining
computer_coaching,Education
college_counseling,Education
romanian_restaurant,Food & Dining
septic_services,Construction & Contractors
mobile_dent_repair,Automotive
immigration_law,Professional Services
boat_parts_and_accessories,Other Services
airsoft_fields,Sports & Recreation
beach_volleyball_court,Sports & Recreation
airport,Transportation
specialty_school,Education
marble_and_granite_professionals,Other Services
bird_shop,Retail & Shopping
blueprinters,Other Services
commercial_industrial,Manufacturing & Industrial
cupcake_shop,Food & Dining
junkyard,Other Services
cannabis_tour,Other Services
boat_storage_facility,Other Services
climbing_service,Sports & Recreation
salsa_club,Other Services
lingerie_store,Retail & Shopping
tax_office,Financial Services
funeral_services_and_cemeteries,Other Services
it_support_and_service,Transportation
livestock_dealers,Automotive
wok_restaurant,Food & Dining
home_health_care,Healthcare & Medical
cosmetology_school,Education
used_bookstore,Retail & Shopping
office_of_vital_records,Government & Public Services
hospital,Healthcare & Medical
fair,Arts & Entertainment
auto_company,Automotive
river,Parks & Natural Features
lighting_fixtures_and_equipment,Other Services
holistic_animal_care,Healthcare & Medical
campus_building,Other Services
cooking_school,Education
automobile_registration_service,Automotive
coach_bus,Education
hvac_services,Construction & Contractors
home_goods_store,Retail & Shopping
bubble_tea,Food & Dining
drama_school,Arts & Entertainment
pediatric_anesthesiology,Healthcare & Medical
canteen,Other Services
horse_riding,Sports & Recreation
b2b_electronic_equipment,Business-to-Business
food_court,Food & Dining
paternity_tests_and_services,Other Services
dairy_stores,Retail & Shopping
roadside_assistance,Other Services
ziplining_center,Other Services
cosmetic_and_beauty_supplies,Beauty & Wellness
tea_room,Food & Dining
transmission_repair,Automotive
clothing_store,Retail & Shopping
medical_school,Healthcare & Medical
preventive_medicine,Healthcare & Medical
flyboarding_rental,Pet Services
home_cleaning,Home & Garden Services
childrens_hospital,Healthcare & Medical
american_restaurant,Food & Dining
plastic_manufacturer,Manufacturing & Industrial
editorial_services,Professional Services
iron_and_steel_store,Retail & Shopping
slovakian_restaurant,Food & Dining
bingo_hall,Arts & Entertainment
brokers,Financial Services
ski_and_snowboard_shop,Retail & Shopping
landscape_architect,Professional Services
community_gardens,Parks & Natural Features
kids_recreation_and_party,Other Services
pet_insurance,Financial Services
immigration_and_naturalization,Other Services
board_of_education_offices,Education
onsen,Other Services
fuel_dock,Automotive
high_gliding_center,Other Services
public_school,Food & Dining
clothing_rental,Retail & Shopping
warehouses,Manufacturing & Industrial
shredding_services,Other Services
ice_skating_rink,Sports & Recreation
rental_kiosks,Retail & Shopping
modern_art_museum,Arts & Entertainment
singaporean_restaurant,Food & Dining
wills_trusts_and_probate,Other Services
hair_replacement,Beauty & Wellness
cancer_treatment_center,Financial Services
greenhouses,Other Services
skating_rink,Sports & Recreation
environmental_medicine,Healthcare & Medical
steakhouse,Food & Dining
contract_law,Professional Services
bike_parking,Transportation
gunsmith,Other Services
social_service_organizations,Community & Social Services
occupational_safety,Home & Garden Services
child_psychiatrist,Healthcare & Medical
esports_league,Sports & Recreation
business_signage,Other Services
greek_restaurant,Food & Dining
